id,pace,shooting,passing,dribbling,defending,physical
192505,75,82,73,72,35,84
192774,82,25,42,60,86,81
197445,83,73,81,80,80,76
204963,81,47,78,81,82,80
208670,80,75,86,83,50,66
41236,56,88,77,77,34,78
143076,89,78,81,86,39,55
176676,81,74,83,89,77,79
177413,73,74,80,79,83,81
191043,83,65,77,80,82,82
192629,78,84,77,85,35,64
193747,68,75,86,82,74,79
199914,75,71,78,84,85,84
233049,88,72,77,90,36,60
235790,84,78,79,84,44,65
211117,72,81,79,82,71,79
220814,81,54,70,71,83,82
202556,87,80,81,84,32,78
213345,92,76,77,87,29,60
206113,90,82,75,86,43,69
216594,78,82,81,88,33,77
198706,71,76,84,85,49,59
212462,85,72,84,81,80,76
198176,66,41,62,68,86,74
201995,89,77,79,89,55,61
120533,67,51,57,60,85,85
162347,56,75,85,82,71,67
171877,69,77,83,83,72,69
172879,72,51,52,60,84,83
176266,62,66,76,78,83,73
176635,70,72,86,84,24,56
180930,60,84,71,75,46,73
181291,77,73,78,84,76,78
181783,68,80,71,75,65,86
184432,70,55,77,73,85,76
185020,89,78,75,83,47,64
187961,72,81,77,80,78,85
188377,91,63,76,77,81,81
190286,78,79,83,81,51,66
197965,77,77,84,81,63,68
199434,68,80,84,85,41,71
200647,70,84,84,85,43,67
205678,88,79,79,83,47,64
207863,64,41,57,60,84,87
226271,65,78,78,83,74,69
210413,63,40,55,66,85,79
231281,80,62,82,78,78,70
205175,69,85,64,76,39,74
211300,89,81,72,86,41,71
212523,77,82,80,81,57,72
213331,71,27,59,57,83,81
219683,69,77,79,78,76,79
224411,90,79,76,84,36,70
226110,91,81,75,85,33,67
229237,78,45,68,72,83,80
231677,92,82,73,84,45,77
203574,68,36,70,72,84,77
210008,73,74,79,80,77,80
210035,85,63,79,84,77,71
212188,92,81,67,83,35,69
213565,83,76,82,85,59,67
200458,78,69,79,79,80,76
208418,90,80,75,87,39,64
224179,67,83,63,76,35,82
198717,91,76,72,88,27,74
200454,79,84,68,80,36,63
201153,81,79,71,80,31,72
205693,72,81,62,76,51,82
207566,42,57,77,74,79,85
217940,72,37,61,61,83,79
188152,74,76,83,81,55,50
198141,73,61,73,72,82,74
204970,83,80,81,83,41,69
205498,55,63,84,81,70,73
139720,50,53,65,64,84,79
157481,48,41,61,63,86,72
159261,69,89,75,80,30,65
167397,65,82,69,77,43,72
168609,64,49,60,68,84,74
169416,80,82,78,84,31,67
170481,43,60,67,62,82,81
178518,72,79,78,83,83,82
178562,61,73,84,82,77,70
179944,61,65,74,70,82,77
183574,66,83,83,83,45,70
183711,64,70,83,77,78,80
184484,56,81,84,80,57,69
190584,54,71,80,79,80,71
190815,54,65,80,77,82,74
195365,76,67,80,86,63,62
198329,90,80,74,82,44,70
199042,63,72,82,81,74,73
199451,84,82,77,85,39,61
199845,56,50,61,63,86,82
200888,65,63,72,74,82,85
216354,73,85,73,85,30,71
230294,81,84,62,72,33,75
230375,80,43,56,64,85,77
230481,87,77,83,84,35,72
230142,75,82,79,83,39,61
229906,91,77,75,84,33,64
208596,77,81,57,77,41,82
223959,75,67,77,80,81,75
224293,62,74,83,76,70,73
225953,89,75,76,85,40,73
227928,92,57,69,81,77,75
216201,94,80,72,80,41,82
221992,93,76,73,83,41,66
227055,95,71,74,86,47,61
209989,73,72,77,77,79,84
211748,67,74,82,84,64,70
202651,78,76,83,87,33,53
210243,86,64,77,81,79,73
211256,81,57,72,76,80,81
189575,80,72,77,87,51,58
195093,69,82,68,75,40,81
200536,90,52,76,80,74,76
200610,76,84,79,79,41,83
201305,71,49,69,65,83,81
202562,89,65,76,80,78,78
203263,50,53,64,69,81,84
203486,82,77,80,86,47,64
208448,70,71,81,83,33,62
208574,87,76,77,81,67,78
216547,93,71,74,86,50,52
53302,59,64,73,69,85,77
106231,61,82,64,75,49,74
146536,87,69,77,83,69,53
146562,56,73,85,83,65,58
158963,55,63,81,81,77,68
179645,65,55,63,55,81,78
181786,58,49,65,67,81,82
184200,80,79,77,82,47,82
184942,81,77,79,83,46,75
185103,69,74,81,76,82,79
186627,76,82,73,79,24,76
187754,83,78,79,86,46,73
188803,92,79,75,86,47,69
189505,75,77,77,84,43,56
189805,56,79,71,69,51,78
190813,87,78,71,84,42,60
191740,70,72,78,80,82,77
193525,82,60,74,79,81,79
197655,54,43,55,59,83,85
198951,90,81,72,80,35,76
207494,80,78,76,83,58,72
208830,88,81,65,74,55,75
215333,71,81,56,76,37,83
216475,89,81,76,85,58,69
230225,71,61,57,62,82,80
230258,81,57,74,77,82,74
231478,81,77,68,82,40,83
234906,79,71,79,83,66,67
235569,80,65,78,87,70,78
221363,71,78,77,79,71,79
221660,74,50,72,72,82,78
208333,70,68,77,79,81,84
211688,85,61,77,80,75,69
236632,87,73,73,87,36,65
210406,81,72,81,84,70,61
199503,51,67,81,71,69,78
204923,74,80,76,80,57,77
205988,82,54,75,80,80,78
207877,89,79,61,79,25,73
208135,69,74,73,77,79,82
226790,71,62,67,74,83,82
204638,52,37,52,56,82,80
206467,76,81,76,78,39,74
207791,83,74,67,75,56,82
207807,90,73,78,83,46,61
207862,62,58,69,65,82,77
213874,78,70,78,79,77,74
216145,68,33,48,65,83,75
216352,64,73,79,80,76,73
190544,78,75,80,84,37,61
193165,83,70,75,88,62,54
206304,55,67,76,67,78,84
208093,76,79,66,78,45,69
223689,63,80,59,69,39,83
20775,77,73,82,86,24,63
112316,68,64,73,62,83,81
142707,75,82,73,80,50,70
159145,70,82,66,75,36,74
162240,73,68,77,87,77,80
162895,53,73,87,77,60,56
165229,60,43,63,64,82,74
169195,67,73,79,79,71,72
171791,36,38,54,60,81,76
171897,68,68,81,82,72,68
173771,77,68,75,73,82,78
176600,85,79,74,77,43,67
177388,71,77,82,81,38,67
177600,49,73,84,74,67,71
179784,52,48,62,63,82,74
184134,61,62,71,70,81,82
184144,78,72,80,82,41,58
184431,81,79,79,87,27,56
185221,58,60,69,69,80,82
188829,70,44,64,70,82,74
194022,68,63,76,75,82,82
203551,82,77,76,80,77,73
204399,75,81,73,82,39,70
207471,56,78,80,81,58,72
216194,42,69,73,75,78,79
224334,76,74,81,86,76,84
230271,82,72,77,83,26,51
242444,82,80,74,81,40,70
224232,76,66,78,80,74,69
225100,81,30,64,68,79,76
213661,68,31,63,68,82,72
216393,63,78,82,78,68,67
234153,77,74,81,78,62,68
222400,70,58,77,83,71,66
223113,76,80,53,73,38,71
224458,83,77,70,84,53,76
236679,82,71,77,82,55,61
239818,64,38,50,59,81,83
211591,82,77,61,76,30,81
212623,77,79,69,78,53,72
212692,79,75,76,83,30,57
215330,84,75,75,85,39,67
226168,73,70,75,78,73,78
202648,45,69,79,80,66,67
204311,64,51,59,55,78,83
208920,75,53,70,71,81,77
211575,65,71,78,80,73,80
222028,61,47,75,76,78,66
223874,64,73,76,80,75,62
227950,62,49,58,61,81,74
193352,70,67,79,76,78,74
199823,61,73,81,77,73,72
202477,88,73,75,87,30,56
205069,82,61,78,85,74,66
207599,60,49,62,66,80,79
220018,88,80,70,78,39,81
230977,89,74,76,82,48,63
235374,88,62,76,81,54,62
188988,77,72,78,85,32,50
199577,64,41,65,63,81,75
200155,48,76,81,77,65,73
201922,68,61,64,59,81,80
205362,71,32,63,54,82,74
208141,63,74,77,79,76,83
196978,87,78,67,77,39,75
198118,59,59,67,65,83,79
203483,65,78,74,75,70,75
203605,77,43,74,75,75,81
204525,70,56,64,61,80,78
206545,60,73,78,77,70,66
210665,69,66,72,72,80,80
45186,66,78,83,82,44,56
54050,64,81,80,76,56,76
139068,72,75,79,86,37,62
142754,66,53,72,68,79,75
153244,69,82,71,71,43,83
154472,39,83,67,70,41,70
159147,52,58,69,66,81,76
169595,77,62,74,79,80,75
171579,47,82,80,77,72,81
172522,73,77,81,77,76,75
175379,60,78,85,81,45,59
176930,59,67,81,75,74,75
177326,77,75,80,82,34,48
177457,65,64,72,72,83,77
177458,65,51,62,60,82,77
178213,52,71,74,73,78,77
178424,75,69,76,76,77,72
179847,33,41,54,53,82,81
181098,53,51,76,71,81,69
182002,70,55,61,64,78,82
184252,71,79,72,75,58,86
184881,86,72,74,83,34,64
186345,74,60,81,76,78,72
186547,66,47,63,67,83,72
187052,70,61,75,74,75,78
187491,86,81,70,76,32,73
189271,70,66,75,78,78,77
189362,78,85,76,80,47,86
190547,45,32,44,53,79,82
192641,73,57,71,67,80,79
193061,75,73,79,83,61,67
193738,73,76,78,83,57,71
194879,60,78,70,75,43,78
199206,75,40,59,60,82,79
200260,78,77,81,82,36,62
201119,82,66,74,81,75,75
201454,75,64,77,78,78,73
201956,62,49,65,63,80,81
203895,66,73,78,83,50,60
204838,78,78,71,75,47,79
205525,87,69,76,85,38,44
206413,67,61,72,69,78,80
215057,55,58,73,78,75,83
222943,87,70,79,80,52,68
223578,72,79,61,75,31,77
227536,88,79,63,65,41,90
230234,68,62,74,76,78,77
230347,79,54,76,78,75,74
238794,93,70,71,85,29,63
233927,76,75,75,81,60,77
229880,87,50,63,78,80,72
237678,78,27,54,68,80,78
225193,69,73,77,80,71,74
228092,74,49,74,74,76,85
228251,74,68,79,76,72,69
235805,85,74,71,83,44,64
244260,80,76,76,82,48,61
213160,76,64,75,80,78,73
226229,74,44,65,67,78,76
227796,90,68,70,84,36,58
230938,72,72,72,77,78,88
235945,61,62,77,73,73,68
244369,83,73,77,80,47,56
210315,72,81,60,73,35,71
216435,64,63,76,78,70,66
220182,75,42,63,68,79,78
222331,85,50,63,71,79,75
225663,81,71,75,82,65,67
229167,90,78,71,83,44,63
229984,78,49,71,77,76,75
232381,77,76,68,73,38,88
236792,70,68,72,72,79,82
205569,60,71,85,77,62,64
208330,76,76,74,82,29,56
212977,78,53,66,67,80,75
214947,80,57,73,74,78,83
220253,84,77,75,81,35,66
220697,75,72,82,79,39,57
231943,84,77,72,81,45,79
233419,89,74,74,82,49,70
207421,83,80,76,82,30,62
210455,77,52,70,76,78,70
210896,75,73,78,77,70,75
213991,73,64,72,73,78,80
216643,74,61,75,75,77,73
228336,64,59,77,77,68,66
192816,58,31,58,57,79,80
201377,75,40,59,63,79,80
202695,58,45,66,63,79,78
204082,71,39,58,64,80,75
206511,65,80,76,77,70,69
210047,62,66,71,69,80,75
213516,76,76,76,81,42,55
223597,84,53,69,76,75,73
228229,56,40,52,50,80,79
193601,56,49,47,56,80,76
202429,81,50,70,72,76,81
202750,64,35,62,61,78,82
218066,85,78,66,73,32,74
224069,79,78,67,78,27,68
185422,88,79,69,79,38,75
193408,71,77,67,71,47,86
194222,53,45,55,48,80,79
204105,79,54,76,77,74,76
205407,71,73,79,81,66,68
205976,77,75,72,79,33,67
208004,66,49,66,68,79,78
221445,87,74,72,80,36,66
113422,65,81,74,80,34,67
124375,80,81,65,69,34,77
158232,65,78,74,85,43,59
158625,36,52,67,63,80,76
158626,69,67,73,75,78,73
169588,56,32,59,53,80,75
172114,58,79,78,79,41,66
172862,50,49,69,70,80,71
173208,74,61,76,72,79,75
173521,65,46,59,59,79,75
176915,68,70,76,78,71,74
177604,63,61,71,74,80,68
178311,86,78,73,83,29,65
178415,60,74,79,70,75,79
180216,74,65,73,77,79,71
182212,74,78,63,72,35,80
182945,84,78,73,81,42,62
183512,80,64,71,74,78,81
184949,82,64,75,76,71,76
185239,71,37,62,66,80,74
186537,69,78,69,75,48,82
188081,92,76,73,82,42,72
189250,69,77,62,70,37,82
189358,62,67,75,84,54,45
189461,64,68,80,81,63,66
190143,69,54,75,74,79,69
190264,75,74,79,84,41,54
191687,53,55,66,54,79,83
192492,72,75,78,81,40,45
192598,81,77,73,77,49,76
192678,61,79,63,75,38,73
193469,52,42,63,59,80,76
194845,76,80,77,79,43,68
196432,67,71,76,75,75,78
197083,74,74,77,79,72,76
199393,49,53,60,56,79,84
201144,54,63,76,73,76,71
203757,82,73,60,78,33,78
203843,76,67,74,73,78,76
204277,71,61,74,77,71,77
208230,57,66,70,70,79,84
208334,75,60,75,75,78,75
211241,83,71,72,81,75,69
213761,76,79,68,73,30,75
215061,80,80,66,75,38,73
215135,68,41,44,59,80,74
222709,70,67,73,76,74,77
224116,55,81,53,71,30,86
229788,64,73,79,71,80,82
230201,79,51,70,78,77,67
230212,70,48,60,52,79,78
230251,71,70,70,72,80,83
230498,84,79,65,80,27,66
234378,62,37,64,68,77,77
234943,70,66,75,79,64,67
235926,87,66,74,83,63,62
242236,54,43,56,63,80,76
224221,60,40,54,55,78,79
229261,82,63,75,76,79,82
231633,67,36,52,55,79,79
234045,90,74,67,82,34,56
234612,89,70,72,82,33,60
235889,82,75,74,82,37,50
222665,74,69,82,85,40,49
225085,89,75,69,82,36,62
227813,71,66,80,79,77,66
212501,67,72,77,71,78,83
221491,71,34,62,69,78,75
223334,78,75,60,76,43,81
226766,93,63,70,84,33,51
229773,82,53,61,64,78,81
236295,72,47,73,76,77,65
237239,72,81,78,80,63,56
239433,62,67,74,71,76,74
240289,72,46,69,71,79,76
209519,72,76,67,75,34,79
212616,75,73,78,82,35,63
213629,64,61,75,74,76,78
214092,74,66,78,79,31,62
215399,75,54,63,63,79,75
219792,64,63,73,77,75,73
220523,51,54,55,56,78,80
227234,62,53,66,64,79,83
231887,75,74,78,81,47,74
199439,64,78,74,74,40,71
203487,59,28,51,57,78,80
205192,76,72,79,83,59,56
205193,67,39,59,62,78,77
207948,87,73,71,83,43,66
212150,67,62,79,83,65,65
215716,62,77,55,69,27,83
219145,40,33,48,46,78,79
225126,66,68,72,74,79,74
233096,80,50,66,71,76,87
234226,66,42,56,57,79,76
200353,60,37,56,54,76,83
201519,63,71,78,77,71,69
203965,82,72,73,80,37,70
205391,66,61,74,78,75,83
205402,85,70,74,81,42,64
210935,77,77,74,82,37,67
215590,76,75,67,81,54,66
220093,83,62,70,77,75,75
225997,83,72,72,80,43,73
226377,88,75,71,83,34,62
187598,64,47,58,62,80,67
192622,47,45,51,48,78,80
199915,46,40,55,61,78,77
200677,63,36,50,62,80,79
202642,73,66,76,73,74,75
208449,64,46,63,62,78,74
208620,63,61,72,76,74,76
211368,90,72,71,84,32,63
228236,76,46,52,69,78,79
236690,68,53,59,67,78,83
193983,73,78,70,73,33,80
198031,58,76,79,76,67,66
201417,74,63,71,74,74,78
202024,66,69,75,75,70,69
202849,34,49,61,48,80,77
209288,76,74,78,79,50,59
212096,70,75,76,82,41,62
213388,75,71,76,81,33,58
216189,82,63,69,76,73,83
216655,78,37,50,65,79,75
220131,65,78,58,61,32,74
143001,68,77,74,78,45,71
143121,69,69,81,80,63,65
153260,36,51,67,66,80,71
156432,47,79,69,71,44,79
156713,37,58,58,54,80,76
157301,83,79,71,80,36,73
157304,64,61,70,60,77,69
160741,75,56,61,52,78,77
165239,72,72,76,80,37,51
169115,54,37,57,58,80,70
169705,76,53,70,76,76,70
170370,72,67,78,78,68,70
170733,90,70,71,80,35,59
170797,31,69,81,77,74,67
172287,44,69,73,71,77,77
172316,74,66,71,74,78,72
172962,77,69,74,81,73,70
173306,75,62,77,79,76,70
177392,68,75,66,77,40,76
177983,61,32,46,56,82,76
179560,83,75,75,80,31,54
179789,59,37,57,54,78,76
182744,69,65,75,74,76,76
183108,79,75,76,80,53,74
183125,57,79,67,71,37,85
183580,59,79,59,66,45,73
184069,59,79,53,65,36,82
184120,31,71,77,70,76,62
186905,62,78,68,74,47,81
187924,54,75,80,76,62,69
188041,72,64,75,75,73,72
188044,83,75,68,82,33,71
188388,71,77,79,79,40,59
189251,64,67,79,78,75,67
189423,68,63,70,72,78,84
189433,53,31,51,58,81,74
189606,68,49,69,68,78,81
189682,61,42,58,62,79,80
190674,70,64,75,75,77,82
190765,58,72,82,74,60,72
191076,75,74,78,77,61,70
193011,53,34,55,60,78,75
193361,71,74,77,79,67,68
193532,68,47,65,69,77,84
193886,67,79,76,79,49,70
194229,68,39,69,73,75,74
194932,78,77,75,80,38,69
195202,63,72,77,79,60,64
195586,66,81,62,74,33,69
197225,68,70,79,79,49,70
197242,65,57,71,68,75,80
198200,63,55,67,70,79,76
198949,85,63,73,78,74,75
201508,63,75,78,79,39,58
202054,39,38,49,51,80,74
202201,69,58,66,64,80,75
202935,71,33,55,57,77,78
203299,86,74,72,83,34,67
204385,66,80,62,71,27,84
205427,83,74,68,77,35,76
205850,60,76,51,68,37,78
207939,50,63,71,68,76,84
208461,65,68,72,73,79,79
208520,78,54,68,67,76,79
213353,75,73,77,81,53,67
214040,89,60,70,79,72,79
214206,69,80,62,75,36,66
214766,50,51,54,53,78,81
215998,74,72,78,79,65,71
216054,57,64,72,68,76,77
216373,76,50,66,77,76,74
223627,70,79,69,73,39,81
230184,87,58,70,77,74,53
230269,80,73,76,77,27,59
230360,80,71,71,76,74,74
230431,72,62,74,69,76,81
243238,79,77,55,74,27,66
228881,76,43,68,74,76,69
231521,77,73,73,77,68,74
232099,62,71,72,78,74,77
228819,90,70,72,82,42,67
235944,74,75,75,77,50,63
240754,88,68,72,82,71,73
206517,75,66,74,80,41,59
222368,76,73,74,77,28,62
223033,68,30,54,65,78,73
226166,77,42,68,72,76,76
238359,78,71,74,79,72,71
239301,75,55,70,74,77,76
241095,79,70,73,80,48,66
245279,78,50,71,74,75,69
251573,84,66,75,79,72,73
216816,77,75,59,76,39,71
230965,77,67,68,76,76,83
234678,91,56,68,74,71,80
236401,81,59,72,81,72,69
236441,87,62,72,79,70,72
236791,64,73,76,76,52,71
237183,81,78,76,80,63,70
237238,61,65,72,72,74,80
220570,62,22,52,55,78,74
221479,84,70,63,75,38,79
222148,69,75,73,80,55,62
224030,72,67,78,79,65,58
235134,71,64,68,72,74,80
206516,64,64,78,78,68,64
208450,73,74,78,78,66,69
210736,79,59,68,78,74,62
211354,64,71,75,77,72,74
212219,76,40,64,69,76,80
212602,60,40,62,64,76,73
212886,76,75,76,78,74,78
213013,94,76,67,80,51,75
213648,61,70,74,75,73,79
214988,76,67,76,77,70,69
215689,62,74,68,75,40,81
219391,68,67,70,69,75,76
225201,79,68,72,79,63,66
226536,67,31,52,52,75,83
229857,59,58,79,76,65,66
230564,77,68,72,81,62,62
232665,37,57,70,71,76,70
235813,69,74,78,75,65,70
204077,89,76,68,80,31,65
204612,66,60,75,73,72,72
210761,82,70,74,78,64,74
223245,88,76,71,78,29,63
226221,66,33,58,59,75,74
198719,84,71,71,82,27,52
207790,64,53,71,68,77,75
212204,63,35,47,56,81,75
214097,69,73,78,77,61,70
216258,93,70,66,81,33,64
216466,82,49,73,78,72,72
219258,45,42,45,55,77,82
225659,50,52,66,63,77,79
225878,81,71,73,77,44,70
237556,73,37,50,50,76,84
202048,47,59,73,65,78,74
203030,48,41,52,50,79,71
223724,85,64,68,72,70,77
226078,84,74,73,80,35,65
230020,73,67,77,77,67,73
189165,62,72,79,72,62,74
192123,70,76,59,68,40,79
192557,71,55,77,75,74,72
193158,62,70,73,75,67,75
199667,62,50,64,65,76,76
201315,58,52,48,59,79,77
206058,75,46,69,75,77,72
211267,90,70,69,82,37,66
216700,80,72,74,82,48,71
224933,90,74,60,77,29,63
137351,43,55,77,75,72,69
140384,67,75,65,72,28,75
146701,32,61,62,57,77,81
152554,78,43,70,75,75,68
152993,33,59,56,45,76,84
158438,57,56,68,66,77,80
162369,41,78,68,72,41,70
164376,48,76,64,63,34,85
166072,48,40,49,52,80,63
172049,92,68,68,85,35,67
172143,48,74,81,76,63,62
172937,31,78,61,67,42,72
173474,71,73,78,81,65,73
175895,56,73,76,74,69,79
178007,49,70,82,75,64,65
178322,76,72,75,75,75,69
178416,89,74,71,79,36,71
178614,67,44,54,59,76,82
181262,64,52,58,63,76,78
182941,63,52,53,56,77,78
183389,82,76,71,76,29,75
183556,50,45,52,47,80,76
183820,79,68,77,79,36,59
184089,85,74,73,83,34,58
184858,73,76,64,71,34,74
185174,70,65,75,78,72,66
186935,62,67,74,73,73,77
188042,70,77,72,81,31,67
188955,78,76,69,76,30,72
189280,60,60,79,74,74,76
189410,66,57,75,74,72,76
190362,77,75,58,75,33,69
190875,60,72,72,74,77,88
192270,79,76,63,74,40,76
192906,67,79,73,79,27,66
193584,67,76,66,72,38,84
195096,58,73,73,71,71,81
197813,62,69,77,75,68,73
198140,76,74,68,74,43,78
198368,49,66,72,74,72,71
198715,77,78,64,78,43,69
199354,72,78,75,77,32,68
199626,69,71,76,78,71,68
199737,79,79,72,77,31,67
199827,65,71,74,72,64,75
199986,59,56,71,67,75,76
200630,93,72,69,80,48,65
201046,68,67,77,80,43,61
205965,89,61,68,74,74,79
206655,80,76,70,80,39,67
207894,53,49,66,58,79,77
212183,84,55,66,70,75,70
213432,65,76,59,74,31,68
215051,63,51,50,61,77,72
215071,86,68,71,77,71,78
215079,63,68,77,74,70,80
217196,52,32,55,58,78,80
229624,76,77,62,77,30,77
230183,82,67,71,71,74,86
230379,61,39,52,54,78,83
230463,80,68,77,77,36,63
230524,81,77,60,73,24,64
225439,58,63,73,75,74,73
229582,55,45,44,50,77,75
233556,78,69,73,80,39,60
238744,68,64,69,74,76,83
222501,82,56,69,75,73,68
231352,74,74,57,69,31,68
231447,91,73,64,80,29,72
235029,80,74,65,75,33,63
235173,68,64,72,72,74,80
246172,87,72,66,82,36,57
219536,80,74,62,77,25,65
222077,60,63,74,74,75,70
224490,81,42,70,71,73,74
233195,78,68,71,77,65,74
234725,68,57,68,73,74,86
235454,70,51,68,66,76,76
240679,68,67,74,70,74,76
206115,58,55,64,68,74,76
211408,69,63,71,75,72,70
229476,64,46,58,66,77,77
231102,78,69,75,79,62,64
237604,65,34,50,57,76,77
238095,64,44,62,61,75,81
210828,60,44,61,56,75,76
229517,79,64,74,83,52,49
232244,70,46,61,66,77,76
235410,75,74,54,74,34,74
212678,76,59,75,74,71,72
216778,68,52,54,64,74,77
219581,65,29,61,58,76,79
220085,76,78,69,75,29,60
225403,77,68,76,78,62,67
226637,68,36,65,67,77,70
228302,83,71,71,76,69,73
229034,75,71,73,75,69,70
229749,54,55,58,62,73,84
200429,91,72,66,79,26,56
205756,46,57,66,64,76,74
207734,70,70,73,77,31,46
210423,72,75,75,75,45,60
214989,77,71,70,79,49,59
221634,81,67,71,80,46,61
224218,87,74,68,77,33,62
192012,62,46,61,69,77,67
192041,68,41,55,58,76,77
200223,70,68,77,77,61,55
210287,82,75,61,72,44,83
211108,80,69,72,77,51,67
211999,56,43,61,61,76,77
212212,68,58,63,71,75,79
212722,92,51,65,76,71,70
222715,66,51,64,70,77,75
223138,60,48,60,55,75,79
224869,62,35,62,62,76,72
229148,91,58,69,76,72,71
239872,66,39,43,53,77,77
244470,77,60,70,72,72,80
199576,45,39,63,62,77,77
206198,59,36,60,59,74,79
208787,73,70,75,76,64,63
211093,78,69,73,78,69,76
216158,80,64,73,76,72,78
183491,66,40,59,55,75,80
192342,56,78,78,76,40,79
194201,64,42,53,62,76,79
195859,75,74,64,76,32,66
200773,67,49,60,66,77,83
202088,81,71,70,78,37,69
202934,80,66,71,76,75,72
203128,64,55,72,69,75,77
204713,88,74,74,78,40,72
205566,85,65,68,78,70,70
209236,67,64,72,69,72,78
211461,54,78,59,69,30,81
224396,54,32,40,42,76,85
232883,68,68,75,76,68,64
121944,34,71,79,71,74,73
125871,74,56,68,71,74,72
134779,66,76,73,72,46,71
138699,57,73,76,76,71,66
140620,41,48,63,61,77,67
142966,61,76,80,77,51,60
144429,70,62,74,73,74,70
146758,57,77,71,72,43,68
147006,63,72,72,80,44,58
150418,58,75,59,67,35,75
152879,41,67,76,73,72,70
152912,46,79,61,65,36,74
152999,74,71,72,82,46,65
155887,58,62,75,72,69,76
158138,65,73,75,76,44,63
158942,84,69,71,75,72,76
162280,73,74,73,77,45,73
162329,62,62,71,73,71,77
163699,74,71,75,79,60,72
163925,64,70,78,79,33,60
167669,56,71,78,74,49,61
168326,66,51,55,61,76,79
169706,47,62,73,71,76,80
170369,84,73,73,79,33,51
171972,60,65,72,73,71,75
172018,45,37,63,50,75,80
173818,66,76,68,81,27,62
176237,70,76,61,69,32,81
176483,50,39,59,45,76,75
176794,50,77,75,73,41,73
176894,70,72,75,78,45,60
176944,42,71,70,69,76,88
177019,58,37,60,65,78,70
178090,73,70,76,79,33,60
178160,55,69,76,71,71,73
179591,70,73,76,78,46,60
180706,40,37,57,53,77,73
181318,49,65,75,73,71,73
182184,57,64,74,69,71,78
182896,71,64,70,74,75,67
183895,73,71,74,77,52,50
183966,61,53,68,64,77,71
184626,46,46,59,59,74,82
186190,87,68,70,76,72,71
186302,75,72,75,78,47,60
186330,73,51,70,75,75,72
186684,52,52,59,59,76,78
187702,74,71,76,76,57,71
188268,92,70,67,79,45,63
188313,84,65,73,78,71,65
188414,61,71,76,79,50,50
188840,77,50,68,71,74,78
189615,71,59,73,75,74,67
189860,75,58,71,79,73,68
190059,78,74,73,77,71,75
190156,40,56,69,65,73,74
190577,76,74,73,78,33,70
190607,86,73,70,81,28,65
190653,89,67,69,80,45,71
190868,69,50,68,64,74,78
190885,71,60,71,74,75,69
191565,75,72,65,78,44,67
192427,80,56,74,76,72,65
192722,67,73,76,78,42,63
193130,75,78,72,78,43,68
193440,70,55,65,67,75,77
193844,61,72,77,77,55,63
194644,77,61,71,72,73,69
196143,85,77,73,76,38,82
196144,67,74,62,71,39,76
196147,73,74,69,77,53,76
196150,57,75,72,77,28,72
196801,60,48,58,63,75,77
196899,85,71,70,78,29,58
198129,67,57,66,73,74,77
198614,37,45,58,46,77,65
198760,70,73,74,75,66,77
199254,72,75,72,75,40,67
199422,63,64,77,74,67,69
199559,58,75,49,69,27,70
199852,71,76,70,72,39,76
200607,63,32,57,55,77,75
201262,65,71,74,76,66,60
202493,85,66,71,78,72,71
203910,73,70,72,83,49,65
204125,78,60,69,73,74,82
204538,80,77,64,76,32,61
204738,92,65,70,77,53,74
